;LISTA DE PRECIOS (JUNIO - 26);;;
ASRZ132-32;ANDES-SAM REVIVERZ;Llave punta corona 32 mm; $11.900 ;
ASRZ132-33;ANDES-SAM REVIVERZ;Llave punta corona 33 mm; $19.900 ;
ASRZ132-34;ANDES-SAM REVIVERZ;Llave punta corona 34 mm; $19.900 ;
ASRZ132-36;ANDES-SAM REVIVERZ;Llave punta corona 36 mm; $23.000 ;
ASRZ132-38;ANDES-SAM REVIVERZ;Llave punta corona 38 mm; $25.000 ;
ASRZ132-41;ANDES-SAM REVIVERZ;Llave punta corona 41 mm; $33.000 ;
ASRZ132-42;ANDES-SAM REVIVERZ;Llave punta corona 42 mm; $33.000 ;
ASRZ132-44;ANDES-SAM REVIVERZ;Llave punta corona 44 mm; $47.500 ;
ASRZ132-46;ANDES-SAM REVIVERZ;Llave punta corona 46 mm; $47.500 ;
ASRZ132-48;ANDES-SAM REVIVERZ;Llave punta corona 48 mm; $57.000 ;
ASRZ132-50;ANDES-SAM REVIVERZ;Llave punta corona 50 mm; $57.000 ;
ASRZ134-1/4;ANDES-SAM REVIVERZ;"Llave punta corona 1/4"""; $1.100 ;
ASRZ134-5/16;ANDES-SAM REVIVERZ;"Llave punta corona 5/16"""; $1.200 ;
ASRZ134-3/8;ANDES-SAM REVIVERZ;"Llave punta corona 3/8"""; $1.300 ;
ASRZ134-7/16;ANDES-SAM REVIVERZ;"Llave punta corona 7/16"""; $1.400 ;
ASRZ134-1/2;ANDES-SAM REVIVERZ;"Llave punta corona 1/2"""; $1.800 ;
ASRZ134-9/16;ANDES-SAM REVIVERZ;"Llave punta corona 9/16"""; $1.900 ;
ASRZ134-5/8;ANDES-SAM REVIVERZ;"Llave punta corona 5/8"""; $2.500 ;
ASRZ134-11/16;ANDES-SAM REVIVERZ;"Llave punta corona 11/16"""; $2.600 ;
ASRZ134-3/4;ANDES-SAM REVIVERZ;"Llave punta corona 3/4"""; $3.000 ;
ASRZ134-13/16;ANDES-SAM REVIVERZ;"Llave punta corona 13/16"""; $3.800 ;
ASRZ134-7/8;ANDES-SAM REVIVERZ;"Llave punta corona 7/8"""; $4.000 ;
ASRZ134-15/16;ANDES-SAM REVIVERZ;"Llave punta corona 15/16"""; $5.200 ;
ASRZ134-1;ANDES-SAM REVIVERZ;"Llave punta corona 1"""; $5.900 ;
ASRZ134-1.1/8;ANDES-SAM REVIVERZ;"Llave punta corona 1 - 1/8"""; $7.600 ;
ASRZ134-1.1/16;ANDES-SAM REVIVERZ;"Llave punta corona 1 - 1/16"""; $7.900 ;
ASRZ134-1.1/4;ANDES-SAM REVIVERZ;"Llave punta corona 1 - 1/4"""; $7.900 ;
YT0335;YATO;Llave punta corona 6 mm; $3.190 ;
YT0336;YATO;Llave punta corona 7 mm; $3.190 ;
YT0337;YATO;Llave punta corona 8 mm; $3.190 ;
YT0338;YATO;Llave punta corona 9 mm; $3.190 ;
YT0339;YATO;Llave punta corona 10 mm; $3.190 ;
YT0340;YATO;Llave punta corona 11 mm; $3.690 ;
YT0341;YATO;Llave punta corona 12 mm; $4.190 ;
YT0342;YATO;Llave punta corona 13 mm; $4.790 ;
YT0343;YATO;Llave punta corona 14 mm; $4.790 ;
YT0344;YATO;Llave punta corona 15 mm; $4.790 ;
YT0345;YATO;Llave punta corona 16 mm; $5.290 ;
YT0346;YATO;Llave punta corona 17 mm; $5.290 ;
YT0347;YATO;Llave punta corona 18 mm; $5.790 ;
YT0348;YATO;Llave punta corona 19 mm; $5.790 ;
YT0349;YATO;Llave punta corona 20 mm; $5.790 ;
YT0350;YATO;Llave punta corona 21 mm; $6.290 ;
YT0351;YATO;Llave punta corona 22 mm; $6.890 ;
YT0352;YATO;Llave punta corona 23 mm; $7.890 ;
YT0353;YATO;Llave punta corona 24 mm; $8.990 ;
YT0354;YATO;Llave punta corona 25 mm; $9.490 ;
YT0355;YATO;Llave punta corona 26 mm; $10.990 ;
YT0356;YATO;Llave punta corona 27 mm; $12.990 ;
YT0357;YATO;Llave punta corona 28 mm; $13.990 ;
YT0358;YATO;Llave punta corona 29 mm; $13.990 ;
YT0359;YATO;Llave punta corona 30 mm; $13.990 ;
YT0360;YATO;Llave punta corona 32 mm; $15.990 ;
YT00760;YATO;Llave punta corona 34 mm; $15.990 ;
YT00761;YATO;Llave punta corona 36 mm; $17.990 ;
YT00762;YATO;Llave punta corona 38 mm; $19.990 ;
YT00763;YATO;Llave punta corona 41 mm; $22.990 ;
YT00764;YATO;Llave punta corona 46 mm; $29.990 ;
YT00765;YATO;Llave punta corona 48 mm; $36.990 ;
YT00766;YATO;Llave punta corona 50 mm; $39.990 ;
YT00767;YATO;Llave punta corona 55 mm; $69.990 ;
YT00768;YATO;Llave punta corona 60 mm; $79.990 ;
YT00769;YATO;Llave punta corona 65 mm; $89.990 ;
HCSPA081;INGCO;Llave punta corona 8 mm; $1.300 ;
652015;HANS TOOLS;Llave punta corona 15mm. Modelo 1161M15; $2.990 ;
HCSPA191;INGCO;Llave punta corona 19 mm; $3.000 ;
257635;CROSSMAN;Llave punta corona 35mm. 96-935; $39.990 ;
1161M36;HANS TOOLS;Llave punta corona 36mm. Modelo 1161M36; $28.990 ;
75536;FORCE;Llave punta corona 36mm.; $28.990 ;
96-944;CROSSMAN;Llave punta corona 44mm. ; $52.500 ;
YT4875;YATO;"Llave punta corona 9/16"" (14,3mm)"; $4.290 ;
YT4876;YATO;"Llave punta corona 5/8"" (15,9mm)"; $4.990 ;
YT4877;YATO;"Llave punta corona 11/16"" (17,5mm)"; $6.090 ;
YT4878;YATO;"Llave punta corona 3/4"" (19,0mm)"; $6.490 ;
YT4879;YATO;"Llave punta corona 13/16"" (20,6mm)"; $7.290 ;
YT4880;YATO;"Llave punta corona 7/8"" (22,2mm)"; $8.290 ;
YT4881;YATO;"Llave punta corona 15/16"" (23,8mm)"; $9.990 ;
YT4882;YATO;"Llave punta corona 1"" (25,4mm)"; $12.990 ;
YT4883;YATO;"Llave punta corona 1-1/16"" (27mm)"; $14.990 ;
YT4884;YATO;"Llave punta corona 1-1/8"" (28,6mm)"; $15.990 ;
YT4885;YATO;"Llave punta corona 1-1/4"" (31,8mm)"; $18.990 ;
8724;ELORA -  GERMANY;LLAVE DE GOLPE PUNTA 24MM; $49.990 ;
8727;ELORA -  GERMANY;LLAVE DE GOLPE PUNTA 27MM; $49.990 ;
PUSH8;BAHCO;Jgo. Llaves punta/corona 8 a 19mm, 8pzas. 8,10,11,12,13,14,17,19 mm.; $29.990 ;
YT0362;YATO;"Jgo. Llaves punta/corona,8 a 24mm, 12pzas.
8-9-10-11-12-13-14-15-17-19-22-24mm."; $57.990 ;
YT03618;YATO;"Jgo. Llaves punta/corona,8 a 24mm, 14pzas.
8-9-10-11-12-13-14-15-16-17-18-19-22-24mm."; $59.990 ;
YT0363;YATO;"Juego de llaves punta / corona, 8-32 mm, 17 piezas
8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 27, 30, 32 mm"; $89.990 ;
RZ136-6;ANDES-SAM REVIVERZ;Jgo. Llaves punta/corona 8,10,12,13,14,17mm, 6pzas.                                                                                                                                                                                                                         ; $14.900 ;
RZ136-8;ANDES-SAM REVIVERZ;Jgo. Llaves punta/corona 6 a 22mm, 8pzas.                                                                                                                                                                                                             ; $29.900 ;
RZ136-12;ANDES-SAM REVIVERZ;Jgo. Llaves punta/corona 6,7,8,9,10,11,12,13,14,17,19,22mm, 12pzas. ; $34.900 ;
RZ136-17;ANDES-SAM REVIVERZ;Jgo. Llaves punta/corona 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22mm, 17pzas. ; $44.900 ;
RZ136-25;ANDES-SAM REVIVERZ;Jgo. Llaves punta/corona 6 a 32mm, 25pzas. 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32mm. ; $99.900 ;
SMDT09;STRONGMAN;Juego de llaves Punta Corona Dicromatado Negro 8 a 32mm 16 piezas. Medidas: 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22, 24, 27, 30, 32 mm                                                                               ; $64.990 ;
B0910;FIXMAN;"Juego de Llaves Punta Corona 6- 32mm 23 pzs.
Medidas: 6-32 mm. 23 piezas. Material CR-V.
Medidas: 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 30, 32 mm
Estas llaves punta corona están hechas de acero al cromo vanadio duradero. El diseño incluye una superficie antideslizante y un microacabado"; $99.900 ;
YT03652;YATO;Jgo. Llaves punta/corona 6 a 32mm, 26pzas.  6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32mm. ; $149.990 ;
B0918;FIXMAN;"Juego Llaves Punta Corona 5/16''- 1.1/4'' 14 piezas. Superficie antideslizante en toda la longitud de la llave.
Características:
Cr-V.
DIN 3113.
DIN 838.
DIN 3110.
Micro acabado.
MEDIDAS: 5/16”; 3/8?; 7/16”; 1/2?, 9/16”; 5/8?; 11/16”; 3/4?; 13/16”; 7/8?; 15/16”; 1”, 1-1/8?; 1-1/4?"; $79.990 ;
YT48852;YATO;"Juego llaves punta/corona en pulgadas 1/4"" a  1-1/4"", 16 piezas. Medidas: 1/4 , 5/16, 3/8,  7/16,  1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16, 1, 1-16, 1-1/8, 1-1/4"""; $99.990 ;
96-977;CROSSMAN;"JUEGO DE LLAVES PUNTA CORONA 1.5/16"" - 2"".  7 PIEZAS.

Medidas:  1.5/16” -  1.3/8”  -  1.7/16”  -  1.1/2” -  1.5/8”  -  1.3/4”  -  2""

Material de cromo vanadio."; $199.900 ;
HKSPA2088;INGCO;Jgo. Llaves punta/punta 6 a 22mm, 8 pzas. 6X7, 8X9, 10X11, 12X13, 14X15, 16X17, 18X19, 20X22 mm.; $20.900 ;
YT0381;YATO;Jgo. Llaves punta/punta 6 a 32mm, 12pzas.                                                                                                                                                                                                                                ; $71.990 ;
HBWS110808;INGCO;Juego de llave Multiuso autoajustables 2 piezas. 9 a 14mm 15 a 22mm y 23 a 32mm. Mango antideslizante.; $13.900 ;
YMM201;UYUSA;Juego de llaves Master Multiuso autoajustables 2 piezas. 9 a 22mm y 23 a 32mm; $15.900 ;
YT4902;YATO;Llave punta/corona corta (stubby) 9mm; $2.990 ;
YT4904;YATO;Llave punta/corona corta (stubby) 11mm; $2.990 ;
YT4910;YATO;Llave punta/corona corta (stubby) 17mm; $4.090 ;
YT4912;YATO;Llave punta/corona corta (stubby) 19mm; $4.490 ;
W43A0607;JWAY;Llave de dado poligonal articulada 6x7 mm; $7.900 ;
YT4961;YATO;Llave de dado poligonal articulada 8x9 mm; $9.990 ;
YT4962;YATO;Llave de dado poligonal articulada 10x11 mm; $10.990 ;
YT4963;YATO;Llave de dado poligonal articulada 12x13 mm; $11.990 ;
YT4964;YATO;Llave de dado poligonal articulada 14x15 mm; $16.990 ;
YT4965;YATO;Llave de dado poligonal articulada 16x17 mm; $18.990 ;
YT4966;YATO;Llave de dado poligonal articulada 18x19 mm; $20.990 ;
YT4967;YATO;Juego de llaves de dado poligonal articuladas. 6 piezas. 8x9, 10x11, 12x13, 14x15, 16x17, 18x19 mm.; $99.990 ;
YT0384;YATO;Llave corona corona acodada 75° 8x9 mm; $2.990 ;
YT0385;YATO;Llave corona corona acodada 75° 10x11 mm; $3.390 ;
YT0386;YATO;Llave corona corona acodada 75° 12x13 mm; $3.990 ;
YT0387;YATO;Llave corona corona acodada 75° 14x15 mm; $4.990 ;
YT0388;YATO;Llave corona corona acodada 75° 16x17 mm; $5.790 ;
YT0389;YATO;Llave corona corona acodada 75° 18x19 mm; $6.490 ;
YT0390;YATO;Llave corona corona acodada 75° 20x22 mm; $7.590 ;
ASRZ-120-8;ANDES-SAM;Jgo. llaves corona/corona acodada 75º, 6 a 22mm, 8pzas.  6x7, 8x9,10x11, 12x13,14x15, 16x17, 18x19, 20x22.; $24.500 ;
YT0396;YATO;Jgo. llaves corona/corona acodada 75º, 6 a 22mm, 8pzas.  6x7, 8x9,10x11, 12x13,14x15, 16x17, 18x19, 20x22.; $49.990 ;
YT48187;YATO;"Jgo. llaves corona/corona acodada 75º, 8 a 27mm, 11pzas  8x10; 10x12; 11x13; 12x14; 14x17; 17x19; 19x21; 21x23; 22x24; 23x26; 24x27mm."; $64.990 ;
YT0398;YATO;Jgo. llaves corona/corona acodada 75º, 6 a 32mm, 12pzas.  6x7, 8x9,10x11, 12x13,14x15, 16x17, 18x19, 20x22, 21x23, 24x27, 25x28, 30x32.; $84.990 ;
YT0191;YATO;Llave punta corona con chicharra (72 dientes) 10 mm; $8.490 ;
YT0192;YATO;Llave punta corona con chicharra (72 dientes) 11 mm; $8.590 ;
YT0193;YATO;Llave punta corona con chicharra (72 dientes) 12 mm; $8.990 ;
YT0194;YATO;Llave punta corona con chicharra (72 dientes) 13 mm; $9.990 ;
YT0195;YATO;Llave punta corona con chicharra (72 dientes) 14 mm; $10.490 ;
YT0198;YATO;Llave punta corona con chicharra (72 dientes) 17 mm; $12.490 ;
YT0200;YATO;Llave punta corona con chicharra (72 dientes) 19 mm; $13.990 ;
YT0189;YATO;Llave punta corona con chicharra (72 dientes) 21 mm; $14.990 ;
YT0201;YATO;Llave punta corona con chicharra (72 dientes) 22 mm; $15.990 ;
YT0202;YATO;Llave punta corona con chicharra (72 dientes) 24 mm; $17.490 ;
YT0203;YATO;Llave punta corona con chicharra (72 dientes) 25 mm; $20.490 ;
YT0204;YATO;Llave punta corona con chicharra (72 dientes) 27 mm; $23.990 ;
YT0205;YATO;Llave punta corona con chicharra (72 dientes) 30 mm; $24.990 ;
YT0206;YATO;Llave punta corona con chicharra (72 dientes) 32 mm; $33.490 ;
4170213;SONIC;Llave combinada pta/corona tipo chicharra 13mm. (con clip); $11.500 ;
YT01870;YATO;Llave punta corona con chicharra (72 dientes) twist 8 mm; $5.290 ;
YT01871;YATO;Llave punta corona con chicharra (72 dientes) twist 9 mm; $5.790 ;
YT01872;YATO;Llave punta corona con chicharra (72 dientes) twist 10 mm; $6.190 ;
YT01873;YATO;Llave punta corona con chicharra (72 dientes) twist 11 mm; $6.490 ;
YT01874;YATO;Llave punta corona con chicharra (72 dientes) twist 12 mm; $7.290 ;
YT01875;YATO;Llave punta corona con chicharra (72 dientes) twist 13 mm; $7.690 ;
YT01876;YATO;Llave punta corona con chicharra (72 dientes) twist 14 mm; $7.990 ;
YT01877;YATO;Llave punta corona con chicharra (72 dientes) twist 15 mm; $8.490 ;
YT01879;YATO;Llave punta corona con chicharra (72 dientes) twist 17 mm; $8.990 ;
YT01880;YATO;Llave punta corona con chicharra (72 dientes) twist 18 mm; $9.490 ;
YT01881;YATO;Llave punta corona con chicharra (72 dientes) twist 19 mm; $9.990 ;
YT0157;YATO;Llave punta rápida corona con chicharra (72 dientes) 10 mm; $25.990 ;
YT0158;YATO;Llave punta rápida corona con chicharra (72 dientes) 11 mm; $25.990 ;
YT0159;YATO;Llave punta rápida corona con chicharra (72 dientes) 12 mm; $27.990 ;
YT0161;YATO;Llave punta rápida corona con chicharra (72 dientes) 14 mm; $30.990 ;
YT0162;YATO;Llave punta rápida corona con chicharra (72 dientes) 15 mm; $31.990 ;
YT0163;YATO;Llave punta rápida corona con chicharra (72 dientes) 16 mm; $37.990 ;
YT1676;YATO;Llave punta corona articulada con chicharra (72 dientes) 10 mm; $9.490 ;
YT1677;YATO;Llave punta corona articulada con chicharra (72 dientes) 11 mm; $9.490 ;
YT1678;YATO;Llave punta corona articulada con chicharra (72 dientes) 12 mm; $9.490 ;
YT1679;YATO;Llave punta corona articulada con chicharra (72 dientes) 13 mm; $16.990 ;
YT1680;YATO;Llave punta corona articulada con chicharra (72 dientes) 14 mm; $16.990 ;
YT1683;YATO;Llave punta corona articulada con chicharra (72 dientes) 17 mm; $16.990 ;
YT1685;YATO;Llave punta corona articulada con chicharra (72 dientes) 19 mm; $19.990 ;
YT5030;YATO;Llave corona corona con chicharra (72 dientes) 8 x 9 mm; $10.990 ;
YT50305;YATO;Llave corona corona con chicharra (72 dientes) 8 x 10 mm; $10.990 ;
YT5031;YATO;Llave corona corona con chicharra (72 dientes) 10 x 11 mm; $11.490 ;
YT5032;YATO;Llave corona corona con chicharra (72 dientes) 12 x 13 mm; $13.490 ;
YT5033;YATO;Llave corona corona con chicharra (72 dientes) 14 x 15 mm; $15.490 ;
YT5035;YATO;Llave corona corona con chicharra (72 dientes) 17 x 19 mm; $19.990 ;
YT0208;YATO;Juego de llaves punta corona con chicharra (72 dientes). 7 piezas. 10, 12, 13, 14, 15, 17, 19 mm. ; $49.990 ;
YT02069;YATO;Juego de llaves punta corona con chicharra (72 dientes). 12 piezas. 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19 mm. ; $99.990 ;
YT16737;YATO;Juego de llaves punta corona con chicharra reversible (72 dientes). 12 piezas. 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19 mm. ; $119.990 ;
HKSPAR1082;INGCO;"JUEGGO DE 8 LLAVES PUNTA Y CORONA CON CHICHARRA 8-19 MM

Medidas:
8 - 10 - 12 - 13 - 14 - 15 - 17 - 19 mm"; $44.990 ;
HKSPAR1061;INGCO;"JUEGO DE 6 LLAVES PUNTA Y CORONA CON CHICHARRA 19-32MM

Medidas:
19 - 22 - 24 - 27 - 30 - 32 mm"; $94.490 ;
19-8-H;IRIMO;"Juego de llaves de Chicharras con Cabeza Flexible, 8 pzs. Irimo 19-8-H

Contiene 8 pzs de 8, 10, 11,12, 13, 14, 17 y 19 mm"; $79.990 ;
19-12-H;IRIMO;"Juego de llaves de Chicharras con Cabeza Flexible, 12 pzs. Irimo 19-12-H

Contiene 12 pzs de 8, 9, 10, 11,12, 13, 14, 15, 16, 17, 18 y 19 mm"; $99.990 ;
YT16968;YATO;"Juego de llaves de punta corona chicharra con cabeza chicharra articulada, 12 pzs.

Contiene 12 pzs de 8, 9, 10, 11,12, 13, 14, 15, 16, 17, 18 y 19 mm"; $149.990 ;
S4RM/3T;BAHCO;"JUEGO DE 3 LLAVES DE CHICHARRA 4 EN 1
12 medidas en 3 llaves
Medidas llaves: 8x9x10x11, 12x13x14x15, 16x17x18x18 mm"; $59.990 ;
YRH5YX;FERRAWYY;"Juego de llaves chicharra 5 piezas de 6 a 21mm
• Material:acero al carbono
• Cabeza del anillo de ratchet reversible en todos los extremos
• Boton de accion ratchet reversible
• Tamaño de las llaves: 6,8,10,12,11,13,14,17,19,21mm"; $32.900 ;
YT0135;YATO;Llave niplera 8 x 10 mm; $4.090 ;
YT0136;YATO;Llave niplera 11 x 12 mm; $4.590 ;
YT0137;YATO;Llave niplera 13 x 14 mm; $4.990 ;
YT0138;YATO;Llave niplera 15 x 17 mm; $5.990 ;
YT01385;YATO;Llave niplera 17 x 19 mm; $6.990 ;
YT0139;YATO;Llave niplera 19 x 21 mm; $7.990 ;
YT0140;YATO;Llave niplera 22 x 24 mm; $9.990 ;
YT0183;YATO;Llave niplera articulada 11 mm; $15.990 ;
YT0186;YATO;Llave niplera articulada 14 mm; $26.990 ;
YT0187;YATO;Llave niplera articulada 15 mm; $28.990 ;
YT0143;YATO;Jgo. Llaves corona tipo niplera, 4 pzas. 8x10, 11x12, 13x14, 15x17 mm.; $24.990 ;
15340;KENDO;Jgo. Llaves corona tipo niplera, 6 pzas. Medidas: 9x11 mm, 10x12 mm, 13x14 mm, 15x17 mm, 19x21 mm, 22x24 mm; $29.990 ;
15380;KENDO;"Jgo. Llaves corona tipo niplera con chicharra, 4 pzas. 8, 10, 11 y 12 mm. • Chicharra con 72 dientes
• Material: vanadio cromado • Satinado cromado"; $59.990 ;
YT0190;YATO;Jgo. Llaves nipleras articuladas, 7 pzas. 8, 10, 11, 12, 13, 14, 17 mm.; $199.990 ;
YT0530;YATO;Juego de llaves estrella (torx hembra), 4 piezas. E6xE8, E10xE12, E14xE18, E20xE24; $29.990 ;
YT0170;YATO;"Llave corona corona tipo ""media luna"" o ""C"" 10x12mm"; $6.990 ;
YT0171;YATO;"Llave corona corona tipo ""media luna"" o ""C"" 11x13mm"; $8.990 ;
YT0172;YATO;"Llave corona corona tipo ""media luna"" o ""C"" 14x15mm"; $10.990 ;
YT0173;YATO;"Llave corona corona tipo ""media luna"" o ""C"" 16x17mm"; $11.990 ;
YT0175;YATO;"Llave corona corona tipo ""media luna"" o ""C"" 19x22mm"; $13.990 ;
YT0287;YATO;"LLAVE CORONA CORONA CURVA CHICHARRA REVERSIBLE 17X19MM
Tamaño: 17x19mm 
Material: CrV 6140
Largo: 260 mm
Diámetro interior: 29,7 mm
Diámetro interior: 33,8 mm
S1: 10 mm
S2: 11,5 mm"; $20.990 ;
YT1626;YATO;"Llave dado (tubo - ""pipa"" - abierta) 6mm. "; $6.490 ;
YT1627;YATO;"Llave dado (tubo - ""pipa"" - abierta) 7mm. "; $6.990 ;
YT1628;YATO;"Llave dado (tubo - ""pipa"" - abierta) 8mm. "; $7.590 ;
YT1629;YATO;"Llave dado (tubo - ""pipa"" - abierta) 9mm. "; $7.890 ;
YT1630;YATO;"Llave dado (tubo - ""pipa"" - abierta) 10mm. "; $7.990 ;
YT1631;YATO;"Llave dado (tubo - ""pipa"" - abierta) 11mm. "; $8.790 ;
YT1632;YATO;"Llave dado (tubo - ""pipa"" - abierta) 12mm. "; $8.990 ;
YT1633;YATO;"Llave dado (tubo - ""pipa"" - abierta) 13mm. "; $9.990 ;
YT1634;YATO;"Llave dado (tubo - ""pipa"" - abierta) 14mm. "; $10.490 ;
YT1635;YATO;"Llave dado (tubo - ""pipa"" - abierta) 15mm. "; $10.990 ;
YT1636;YATO;"Llave dado (tubo - ""pipa"" - abierta) 16mm. "; $12.490 ;
YT1637;YATO;"Llave dado (tubo - ""pipa"" - abierta) 17mm. "; $13.990 ;
YT1638;YATO;"Llave dado (tubo - ""pipa"" - abierta) 18mm. "; $14.990 ;
YT1639;YATO;"Llave dado (tubo - ""pipa"" - abierta) 19mm. "; $17.990 ;
YT1641;YATO;"Llave dado (tubo - ""pipa"" - abierta) 21mm. "; $18.490 ;
LASWT0901;INGCO;"JUEGO DE 9 LLAVES DADO (TIPO PIPA-ABIERTA) CR-V EN ""L"" DE 7, 8, 10, 11, 12, 13, 14, 17 Y 19 MM. PUNTA POLIGONAL EN LA ZONA CURVA Y HEXAGONAL EN LA ZONA RECTA."; $54.500 ;
56100;VOREL;Llave allen en L de 10 mm; $990 ;
56120;VOREL;Llave allen en L de 12 mm; $1.790 ;
56130;VOREL;Llave allen en L de 13 mm; $2.090 ;
56140;VOREL;Llave allen en L de 14 mm; $2.390 ;
56170;VOREL;Llave allen en L de 17 mm; $4.090 ;
YT5851;YATO;"Llave allen extra larga con bola 1/16"""; $1.190 ;
YT5852;YATO;"Llave allen extra larga con bola 5/64"""; $1.290 ;
YT5853;YATO;"Llave allen extra larga con bola 3/32"""; $1.390 ;
YT5854;YATO;"Llave allen extra larga con bola 7/64"""; $1.490 ;
YT5855;YATO;"Llave allen extra larga con bola 1/8"""; $1.790 ;
YT5856;YATO;"Llave allen extra larga con bola 9/64"""; $1.890 ;
YT5857;YATO;"Llave allen extra larga con bola 5/32"""; $1.990 ;
YT5858;YATO;"Llave allen extra larga con bola 3/16"""; $2.590 ;
YT5859;YATO;"Llave allen extra larga con bola 7/32"""; $2.790 ;
YT5860;YATO;"Llave allen extra larga con bola 1/4"""; $2.990 ;
YT5861;YATO;"Llave allen extra larga con bola 5/16"""; $4.590 ;
YT5862;YATO;"Llave allen extra larga con bola 3/8"""; $6.990 ;
YT05571;YATO;"LLAVE ALLEN EN ""T"" 2,5 MM"; $2.490 ;
YT05576;YATO;"LLAVE ALLEN EN ""T"" 5 MM"; $2.990 ;
YT05577;YATO;"LLAVE ALLEN EN ""T"" 6 MM"; $3.490 ;
YT05578;YATO;"LLAVE ALLEN EN ""T"" 7 MM"; $3.990 ;
YT05579;YATO;"LLAVE ALLEN EN ""T"" 8 MM"; $4.990 ;
YT05581;YATO;"LLAVE ALLEN EN ""T"" 10 MM"; $5.490 ;
YT58830;YATO;Juego de llaves allen tipo navaja. 8 piezas. 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 5.0, 8.0mm; $9.890 ;
YT5835;YATO;"Juego de llaves Allen largas 12 pzas.  1/16,5/64,3/32,7/64,1/8,9/64,5/32,3/16,7/32,1/4,5/16,3/8"""; $12.490 ;
YT5836;YATO;"Juego de llaves Allen extra largas 12 pzas.  1/16,5/64,3/32,7/64,1/8,9/64,5/32,3/16,1/4,5/16,3/8"""; $14.990 ;
YT5837;YATO;"Juego de llaves Allen largas con bola 12 pzas.  1/16,5/64,3/32,7/64,1/8,9/64,5/32,3/16,7/32,1/4,5/16,3/8"""; $13.490 ;
YT5838;YATO;"Juego de llaves Allen extra largas con bola 12 pzas.  1/16,5/64,3/32,7/64,1/8,9/64,5/32,3/16,7/32,1/4,5/16,3/8"""; $14.990 ;
20732;KENDO;Juego de llaves Allen largas 9 pzas. 1,5,2,2.5,3,4,5,6,8,10mm. ; $11.500 ;
YT0500;YATO;Juego de llaves Allen largas 9 pzas. 1,5,2,2.5,3,4,5,6,8,10mm.; $9.990 ;
YT0505;YATO;Juego de llaves Allen largas con bola 9 pzas.  1,5,2,2.5,3,4,5,6,8,10mm.; $12.490 ;
YT0506;YATO;Juego de llaves Allen extra largas con bola 9 pzas. 1.5,2,2.5,3,4,5,6,8,10mm.; $12.990 ;
YT0509;YATO;Juego de llaves Allen largas con bola 10 pzas.  2,2.5,3,4,5,6,7,8,10,12mm.; $19.990 ;
48-9-H;IRIMO;Juego de llaves Allen largas con bola 9 pzas.  1.5,2,2.5,3,4,5,6,8,10mm.; $16.490 ;
YT0519;YATO;   Jgo. llaves Allen 3 a 17mm, extra larga, 10 pzas. 3,4,5,5.5,6,8,10,12,14,17 mm.; $49.990 ;
YT58208;YATO;   Jgo. llaves Allen 1,5 a 19mm, larga, 13 pzas. 1.5,2,2.5,3,4,5,6,8,10,12,14,17,19 mm.; $49.990 ;
HHKSET0181;INGCO;"JUEGO DE LLAVES ALLEN-TORX 18 UNIDADES
- 9 LLAVES HEXAGONALES/ ALLEN DE 1.5, 2, 2.5, 3, 4, 5, 6, 8, 10MM
- 9 LLAVES TORX T10/15/20/25/27/30/40/45/50.
Ancho 0.205
Altura 0.03
Longitud 0.33
Tipo SET LLAVES ALLEN/TORX
Material ACERO CROMO VANADIO."; $18.900 ;
YT58181            ;YATO;LLAVE TORX T7; $1.990 ;
YT58182            ;YATO;LLAVE TORX T8; $1.990 ;
YT58183            ;YATO;LLAVE TORX T9; $1.990 ;
YT58184            ;YATO;LLAVE TORX T10; $1.990 ;
YT58185            ;YATO;LLAVE TORX T15; $1.990 ;
YT58188            ;YATO;LLAVE TORX T27; $2.490 ;
YT58189            ;YATO;LLAVE TORX T30; $2.790 ;
YT58190            ;YATO;LLAVE TORX T40; $3.690 ;
YT58191            ;YATO;LLAVE TORX T45; $4.190 ;
YT58192            ;YATO;LLAVE TORX T50; $5.090 ;
YT58193            ;YATO;LLAVE TORX T55; $5.290 ;
YT58194            ;YATO;LLAVE TORX T60; $5.990 ;
YT05601;YATO;"LLAVE TORX EN ""T"" T8"; $2.590 ;
YT05602;YATO;"LLAVE TORX EN ""T"" T9"; $2.590 ;
YT05603;YATO;"LLAVE TORX EN ""T"" T10"; $2.990 ;
YT05606;YATO;"LLAVE TORX EN ""T"" T25"; $2.990 ;
YT05607;YATO;"LLAVE TORX EN ""T"" T27"; $3.490 ;
YT05608;YATO;"LLAVE TORX EN ""T"" T30"; $3.990 ;
